PlayerYear,allstar_current,allstar_next,allstar_ever,yrs_played,seasonYYYY,offseason_trade,media_mktsize_post,google_trends,team_winpct_pre,WC_post,dpoy,smoy,mip,roy,PG,SG,SF,PF,C,Opp_MP_per_G,Opp_FGA_per_G,Opp_PTS,Opp_TRB_per_G,Opp_AST_per_G,Age,G,GS,FG_perc,3P_perc,2P_perc,eFG_perc,FT_perc,MP_per_G,FG_per_G,FGA_per_G,3P_per_G,3PA_per_G,2P_per_G,2PA_per_G,FT_per_G,FTA_per_G,ORB_per_G,DRB_per_G,TRB_per_G,AST_per_G,STL_per_G,BLK_per_G,TOV_per_G,PF_per_G,PTS,FG_per_36m,FGA_per_36m,3P_per_36m,3PA_per_36m,2P_per_36m,2PA_per_36m,FT_per_36m,FTA_per_36m,ORB_per_36m,DRB_per_36m,TRB_per_36m,AST_per_36m,STL_per_36m,BLK_per_36m,TOV_per_36m,PF_per_36m,PTS_per_36m,PER,TS_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,FG_per_100p,FGA_per_100p,3P_per_100p,3PA_per_100p,2P_per_100p,2PA_per_100p,FT_per_100p,FTA_per_100p,ORB_per_100p,DRB_per_100p,TRB_per_100p,AST_per_100p,STL_per_100p,BLK_per_100p,TOV_per_100p,PF_per_100p,PTS_per_100p,ORtg,DRtg,P_G,P_GS,P_FG_perc,P_3P_perc,P_2P_perc,P_eFG_perc,P_FT_perc,P_MP_per_G,P_FG_per_G,P_FGA_per_G,P_3P_per_G,P_3PA_per_G,P_2P_per_G,P_2PA_per_G,P_FT_per_G,P_FTA_per_G,P_ORB_per_G,P_DRB_per_G,P_TRB_per_G,P_AST_per_G,P_STL_per_G,P_BLK_per_G,P_TOV_per_G,P_PF_per_G,P_PTS,P_FG_per_36m,P_FGA_per_36m,P_3P_per_36m,P_3PA_per_36m,P_2P_per_36m,P_2PA_per_36m,P_FT_per_36m,P_FTA_per_36m,P_ORB_per_36m,P_DRB_per_36m,P_TRB_per_36m,P_AST_per_36m,P_STL_per_36m,P_BLK_per_36m,P_TOV_per_36m,P_PF_per_36m,P_PTS_per_36m,P_PER,P_TS_perc,P_3PAr,P_FTr,P_ORB_perc,P_DRB_perc,P_TRB_perc,P_AST_perc,P_STL_perc,P_BLK_perc,P_TOV_perc,P_USG_perc,P_OWS,P_DWS,P_WS,P_WS_per_48,P_OBPM,P_DBPM,P_BPM,P_VORP,P_FG_per_100p,P_FGA_per_100p,P_3P_per_100p,P_3PA_per_100p,P_2P_per_100p,P_2PA_per_100p,P_FT_per_100p,P_FTA_per_100p,P_ORB_per_100p,P_DRB_per_100p,P_TRB_per_100p,P_AST_per_100p,P_STL_per_100p,P_BLK_per_100p,P_TOV_per_100p,P_PF_per_100p,P_PTS_per_100p,P_ORtg,P_DRtg
Mateen Cleaves2005,0,0,0,4,2005,0,1.85481,0,0.634146341,0,0,0,0,0,1,0,0,0,0,289.8,40.9,29.3,11.6,32,27,14,0,0.357,0,0.417,0.357,0.75,4.6,0.4,1,0,0.1,0.4,0.9,0.2,0.3,0.1,0.3,0.4,0.5,0.1,0,0.1,0.1,0.9,2.8,7.8,0,1.1,2.8,6.6,1.7,2.2,1.1,2.2,3.3,3.9,1.1,0,1.1,1.1,7.2,9.1,0.412,0.143,0.286,3.8,7.5,5.6,16.5,1.7,0,11.3,12.6,0,0,0,0.029,-2.7,-1.4,-4.1,0,4.2,11.8,0,1.7,4.2,10.1,2.5,3.4,1.7,3.4,5,5.9,1.7,0,1.7,1.7,10.9,102,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jermaine O'Neal2005,1,0,1,8,2005,0,0.99979,0,0.536585366,0,0,0,1,0,0,0,0,0,1,-47,-7.3,-5.4,-1.8,-6,26,44,41,0.452,0.167,0.454,0.453,0.754,34.8,8.8,19.4,0,0.1,8.8,19.3,6.7,8.9,1.9,6.9,8.8,1.9,0.6,2,3,3.9,24.3,9.1,20.1,0,0.1,9.1,20,6.9,9.2,2,7.1,9.1,1.9,0.6,2.1,3.1,4.1,25.1,22.9,0.52,0.007,0.458,6.7,23.3,15.1,12.8,0.9,4.4,11.3,36.2,1.3,2.5,3.8,0.118,-1.2,0.6,-0.6,0.5,13.9,30.7,0,0.2,13.9,30.5,10.6,14.1,3.1,10.9,14,3,0.9,3.2,4.7,6.2,38.4,102,101,13,13,0.365,0,0.37,0.365,0.75,36.6,5.9,16.2,0,0.2,5.9,16,4.2,5.5,1.6,6.4,8,2.2,0.5,2.6,2.8,3.7,16,5.8,16,0,0.2,5.8,15.7,4.1,5.4,1.6,6.3,7.9,2.2,0.5,2.6,2.7,3.6,15.7,12.3,0.429,0.014,0.341,5.2,20.7,12.9,14,0.8,5.7,12.9,28.4,-1,1,0,0,-5.9,4.1,-1.8,0,9.1,25,0,0.4,9.1,24.6,6.4,8.5,2.5,9.8,12.3,3.4,0.8,4,4.3,5.7,24.6,86,99
Eddie Gill2006,0,0,0,5,2006,0,0.99979,0,0.5,0,0,0,0,0,1,0,0,0,0,44.4,5,7.2,-2.4,-5.2,27,41,0,0.222,0.304,0.136,0.3,0.783,3,0.2,1.1,0.2,0.6,0.1,0.5,0.4,0.6,0,0.4,0.4,0.3,0.3,0,0.2,0.3,1.1,3,13.3,2.1,6.8,0.9,6.5,5.3,6.8,0,4.4,4.4,3.5,3.2,0.3,2.7,3.8,13.3,9.9,0.408,0.511,0.511,0,13.8,7.1,15.8,4.8,0.6,14,24.5,-0.2,0.3,0.1,0.02,-3.9,1.3,-2.5,0,4.4,19.7,3.1,10.1,1.3,9.7,7.9,10.1,0,6.6,6.6,5.3,4.8,0.4,3.9,5.7,19.7,85,97,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,-59.5,0,0,0,0,0,0,0,0,0,100,48.9,0,0,0,-1.572,-51,1.1,-49.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5,0,0,0,117
Viktor Khryapa2006,0,0,0,1,2006,1,3.25137,0,0.256097561,0,0,0,0,0,0,0,0,1,0,136,16.4,14.6,1.6,3.9,23,69,53,0.462,0.333,0.474,0.477,0.694,21.6,2.3,5,0.1,0.4,2.1,4.5,1.1,1.6,1.7,2.8,4.4,1.3,0.7,0.4,1.2,3,5.8,3.8,8.3,0.2,0.7,3.6,7.5,1.9,2.7,2.8,4.7,7.4,2.1,1.2,0.7,2,5,9.7,11.5,0.516,0.088,0.325,9.1,15.8,12.4,9.8,1.8,1.5,17.7,15.1,0.6,0.7,1.3,0.042,-1.5,0.4,-1,0.4,5.8,12.6,0.4,1.1,5.4,11.5,2.8,4.1,4.2,7.1,11.3,3.2,1.8,1.1,3.1,7.7,14.8,102,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Van Exel2006,0,0,1,12,2006,0,0.92399,0,0.768292683,0,0,0,0,0,1,0,0,0,0,26.6,1,0.5,0.7,1.4,34,65,2,0.397,0.357,0.429,0.477,0.683,15.2,2.1,5.3,0.8,2.4,1.2,2.9,0.4,0.6,0.1,1.3,1.4,1.9,0.2,0,0.9,0.9,5.5,5,12.5,2,5.6,3,6.9,1,1.5,0.2,3.1,3.3,4.5,0.6,0.1,2.1,2.2,13,11,0.492,0.449,0.12,0.7,9.9,5.5,20.2,0.9,0.2,13.6,20.2,0.1,1.3,1.4,0.07,-1.4,-1.4,-2.8,-0.2,7.5,18.9,3,8.5,4.5,10.4,1.5,2.3,0.3,4.7,5,6.8,0.9,0.2,3.1,3.3,19.5,99,104,12,0,0.219,0.3,0.182,0.266,1,11.1,0.6,2.7,0.3,0.8,0.3,1.8,0.8,0.8,0.1,0.9,1,1.4,0.3,0.2,0.4,1.2,2.2,1.9,8.7,0.8,2.7,1.1,6,2.4,2.4,0.3,3,3.2,4.6,0.8,0.5,1.4,3.8,7,5.7,0.362,0.313,0.281,1,10,5.8,18.5,1.2,1.1,12.2,15,-0.1,0,-0.1,-0.034,-4.1,-0.7,-4.8,-0.1,2.9,13.1,1.2,4.1,1.6,9,3.7,3.7,0.4,4.5,4.9,7,1.2,0.8,2,5.7,10.6,88,114
Rasual Butler2007,0,0,0,4,2007,0,0.62402,0,0.475609756,0,0,0,0,0,0,0,1,0,0,-48.5,-7,-8.6,1.6,4.5,27,81,38,0.398,0.369,0.424,0.484,0.644,27.4,3.9,9.7,1.7,4.5,2.2,5.2,0.7,1.1,0.5,2.6,3.2,0.8,0.5,0.7,0.8,1.8,10.1,5.1,12.8,2.2,5.9,2.9,6.9,0.9,1.4,0.7,3.5,4.1,1,0.6,0.9,1.1,2.4,13.2,10.8,0.495,0.461,0.11,2.1,11.4,6.7,4.7,1,1.9,7.5,18.3,0.8,1.8,2.6,0.056,-1,-0.8,-1.7,0.2,7.5,18.9,3.2,8.7,4.3,10.2,1.3,2.1,1,5.1,6.1,1.5,1,1.3,1.6,3.5,19.6,102,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Duhon2007,0,0,0,2,2007,0,3.25137,0,0.597560976,0,0,0,0,0,1,0,0,0,0,137.5,23.3,18.3,4.7,12.5,24,78,30,0.408,0.359,0.458,0.499,0.752,24.4,2.5,6.2,1.1,3.1,1.4,3.1,1,1.3,0.3,1.9,2.2,4,0.9,0.1,1.3,1.9,7.2,3.7,9.1,1.7,4.6,2.1,4.5,1.4,1.9,0.4,2.8,3.2,5.9,1.3,0.1,2,2.8,10.5,11.9,0.529,0.507,0.209,1.4,8.7,5.1,24.4,1.9,0.2,16.6,14.8,1.9,3,4.8,0.121,-0.1,0.1,0,1,5.3,13,2.4,6.6,2.9,6.4,2,2.7,0.6,3.9,4.5,8.3,1.9,0.2,2.8,4,15,108,102,9,0,0.29,0.316,0.25,0.387,0.8,19.1,1,3.4,0.7,2.1,0.3,1.3,0.9,1.1,0.3,1.4,1.8,2.3,0.3,0.1,0.8,1.3,3.6,1.9,6.5,1.3,4,0.6,2.5,1.7,2.1,0.6,2.7,3.3,4.4,0.6,0.2,1.5,2.5,6.7,7.5,0.452,0.613,0.323,2.1,8.7,5.4,19.5,0.9,0.5,16.5,11.4,0,0.1,0.2,0.055,-1.9,0.4,-1.5,0,2.8,9.7,1.9,5.9,0.9,3.7,2.5,3.1,0.9,4.1,5,6.6,0.9,0.3,2.2,3.7,10,100,106
Lindsey Hunter2007,0,0,0,13,2007,0,1.77724,0,0.646341463,0,0,0,0,0,1,0,0,0,0,129.4,21.5,19.3,1.9,6.3,36,52,0,0.385,0.319,0.448,0.463,0.909,14.3,1.8,4.7,0.7,2.3,1.1,2.4,0.6,0.6,0.2,0.7,0.9,1.8,0.7,0.1,0.7,1.1,4.9,4.5,11.8,1.8,5.8,2.7,6,1.4,1.6,0.4,1.8,2.3,4.5,1.6,0.3,1.7,2.7,12.4,12.7,0.495,0.488,0.135,1.4,6.1,3.7,20.3,2.5,0.7,11.9,18.7,0.5,0.8,1.3,0.085,0,-1.4,-1.4,0.1,6.9,18,2.8,8.8,4.1,9.2,2.2,2.4,0.7,2.8,3.5,6.9,2.5,0.5,2.6,4.1,18.9,104,106,13,0,0.226,0.222,0.231,0.29,1,10.2,0.5,2.4,0.3,1.4,0.2,1,0.4,0.4,0.2,0.6,0.8,1.2,0.5,0.1,0.8,1.7,1.8,1.9,8.4,1.1,4.9,0.8,3.5,1.4,1.4,0.5,2.2,2.7,4.3,1.6,0.3,2.7,6,6.2,2.4,0.346,0.581,0.161,1.8,7.2,4.5,19.4,2.5,0.6,23.1,15.7,-0.3,0.2,-0.1,-0.04,-4.1,-0.4,-4.5,-0.1,2.9,13,1.7,7.6,1.3,5.5,2.1,2.1,0.8,3.4,4.2,6.7,2.5,0.4,4.2,9.3,9.7,75,102
Jared Jeffries2007,0,0,0,4,2007,0,4.733533333,0,0.402439024,0,0,0,0,0,0,0,0,1,0,-10.3,2.6,2.8,-0.2,-0.2,25,55,43,0.461,0.1,0.5,0.466,0.456,23.8,1.7,3.7,0,0.4,1.7,3.4,0.6,1.2,2,2.3,4.3,1.2,0.8,0.5,1.1,2.7,4.1,2.6,5.7,0.1,0.6,2.6,5.1,0.9,1.9,3.1,3.5,6.6,1.8,1.2,0.8,1.7,4.1,6.1,8.6,0.473,0.097,0.33,10.2,11.4,10.8,7.9,1.8,1.8,20.5,10.3,0.1,1,1.2,0.043,-1.6,2,0.3,0.8,3.8,8.3,0.1,0.8,3.8,7.5,1.3,2.8,4.5,5.1,9.6,2.7,1.8,1.2,2.5,6.1,9,99,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mehmet Okur2007,1,0,1,4,2007,0,0.93581,2.348008386,0.62195122,0,0,0,0,0,0,0,0,0,1,16.6,2.1,1.6,0.4,1.8,27,80,80,0.462,0.384,0.498,0.523,0.765,33.3,6.1,13.3,1.6,4.2,4.5,9.1,3.7,4.8,2,5.2,7.2,2,0.5,0.5,1.6,3.2,17.6,6.6,14.3,1.7,4.5,4.9,9.8,4,5.2,2.2,5.7,7.8,2.1,0.5,0.5,1.7,3.5,19,18.1,0.571,0.317,0.365,7.3,19.1,13.2,9.9,0.7,1.2,9.2,22.8,6.5,2.3,8.8,0.158,3,-1,2,2.7,9.6,20.9,2.5,6.6,7.1,14.3,5.8,7.6,3.1,8.2,11.4,3.1,0.7,0.7,2.5,5.1,27.6,117,108,17,17,0.388,0.316,0.442,0.456,0.786,34.4,4.2,10.8,1.5,4.6,2.7,6.1,1.9,2.5,2.2,5.6,7.8,1.8,1.4,0.9,1.4,3.8,11.8,4.4,11.3,1.5,4.9,2.8,6.4,2,2.6,2.3,5.8,8.1,1.8,1.5,1,1.5,4,12.3,13.9,0.496,0.432,0.23,7.4,19.2,13.2,8.1,2.2,2.6,10.6,17.3,0.6,0.7,1.3,0.106,1.9,2,3.9,0.9,6.4,16.5,2.3,7.1,4.1,9.4,3,3.8,3.3,8.6,11.9,2.7,2.2,1.4,2.2,5.9,18,106,103
